280581,7349643      2
281337,7346363      6
281632,7346102      8
281678,7345889      10
281725,7346553      4
281799,7345732      4
281834,7345926      4
281841,734566      6
281842,7345852      2
281862,7346175      6
281906,7345744      8
281947,734618      4
281996,734637      2
282120,7348128      2
283157,734856      4
283223,734761      2
284014,7348073      6
284732,734908      4
284818,7352459      12
286537,735076      2
286779,7350806      10
286786,7350809      6
286790,7348783      10
287045,7353117      12
287069,7353162      14
287237,7346947      4
287866,7380963      2
287922,7380869      4
287959,7348466      4
288059,7381049      2
288062,7380894      2
288165,7351039      6
288180,7381051      2
288198,7381165      4
288203,7381002      4
288205,7351053      2
288210,7381008      2
288225,738115      4
288322,7352572      4
288352,738138      4
288441,7381539      2
288473,7381101      2
288520,7352971      4
288532,7381821      6
288544,7353211      12
288546,7353126      8
288632,7352518      2
288639,7352846      6
288650,7352309      6
288827,7352751      2
288843,7352575      2
289089,7352417      4
289138,7351758      17
289193,7352005      6
289219,7351997      12
289248,7351694      2
289253,7351648      2
289254,7351649      2
289272,7351992      2
289278,7351907      4
289284,7351024      2
289284,7351926      2
289298,7351948      2
289301,735179      4
289318,7352074      2
289321,7351881      2
289321,7352266      2
289322,7351141      6
289329,7351907      5
289342,7351053      8
289357,735219      8
289360,7351638      2
289361,7351637      1
289371,7351923      2
289372,7351732      4
289380,7352213      2
289394,7351219      2
289404,7350944      4
289414,735178      4
289426,7351847      6
289433,7351844      4
289465,7351622      2
289482,7351873      4
289511,7351795      2
289575,7351756      2
289588,7351929      8
289601,7351917      2
289612,7351466      4
289623,7351968      2
289641,7351652      2
289647,7351653      2
289675,735185      2
289686,7348837      4
289711,7351368      4
289724,7351299      2
289734,7348953      2
289754,7351364      2
289760,7352566      10
289778,734896      4
289804,7352682      4
289816,7350932      2
289847,7351314      2
289974,7383565      4
290002,7382375      6
290028,7380787      2
290276,7350913      2
290368,7350714      2
290369,7350712      2
290396,7346995      2
290454,7352138      12
290634,7384342      2
290644,7350569      2
290798,7352196      4
290926,7386064      2
290943,7382897      2
290970,7385944      2
290993,7381657      2
291024,7352567      4
291086,7382006      12
291222,7385085      6
291291,7350396      4
291541,7350771      8
291556,738707      2
291557,7376361      2
291579,7349961      4
291586,7386884      2
291597,7348744      4
291645,7377659      2
291647,7354438      2
291661,7378183      2
291679,7378185      2
291764,7380999      2
291844,7386988      2
291889,7380906      2
291937,7380508      2
291945,7380492      2
292037,7377752      4
292166,738137      12
292473,7354141      3
292481,7383749      14
292506,7389086      6
292524,7351068      4
292590,7379845      6
292627,7387926      2
292784,7387882      2
292790,7386645      8
292835,7387878      2
292858,7379718      8
292894,7386631      14
292896,7387795      16
292904,7382347      8
292937,7384134      2
292945,7387741      4
292955,7387574      4
292979,7380526      6
292982,7387758      8
292986,7389515      4
293015,737985      2
293020,7382233      2
293096,7379648      4
293115,738794      2
293119,737963      8
293122,738775      2
293175,7376949      2
293208,7387108      2
293236,7378422      10
293248,7377486      2
293301,7387265      14
293328,7377584      6
293333,738893      2
293339,7379457      2
293413,7381563      12
293465,7380375      6
293498,7378552      2
293502,7351516      2
293512,7388176      2
293545,7387991      2
293545,7388591      2
293557,7386722      6
293586,7382126      18
293621,7388499      4
293657,7380451      6
293660,7388626      2
293675,7379211      4
293675,7388133      2
293681,7389033      4
293686,738174      8
293695,7388144      2
293698,7379078      4
293710,7387967      4
293719,7379317      4
293729,7378582      12
293745,7379006      2
293772,7379091      2
293790,7373419      2
293818,7381064      2
293820,7378977      14
293831,737912      2
293849,7380006      2
293889,7351342      18
293889,7378878      2
293890,7379881      8
293896,7387688      4
293901,7378862      4
293910,7378879      2
293921,7387225      2
293922,7379643      2
293929,7387783      4
293930,7387765      2
293962,7387783      8
293975,7379025      2
293990,737903      4
294007,737904      2
294009,7388052      4
294018,7379159      4
294022,7387909      4
294030,7387459      2
294050,7388942      2
294052,7388939      2
294053,7388935      2
294068,7378927      2
294069,7378927      2
294075,7378162      2
294086,7388784      2
294092,7379383      2
294123,737953      4
294138,7388173      6
294141,7387763      2
294146,7378883      14
294148,7388199      2
294151,7387724      6
294154,7375652      2
294155,7389505      6
294160,7386258      10
294173,7388316      2
294177,7387684      6
294200,7377637      4
294205,7388021      2
294212,7389621      8
294240,7389033      2
294262,7387669      4
294274,7387649      2
294301,7389548      4
294306,7371985      12
294311,7381551      8
294314,7387693      2
294320,7381577      4
294323,738718      14
294389,7353726      16
294394,7378221      14
294396,7387798      4
294427,7389589      2
294512,7410734      2
294552,7390527      10
294581,7410529      6
294604,7384525      2
294621,7372013      6
294641,7410347      2
294675,7389388      8
294681,7385831      8
294687,741184      4
294702,7387153      6
294715,7410503      6
294735,7410561      8
294736,739066      8
294736,74112      16
294745,7410566      2
294843,7411288      2
294849,7411592      6
294869,7410626      4
294941,7411138      2
294951,7411068      2
294963,7410482      4
294974,7351588      2
294991,739069      2
294997,7410573      2
295000,7410901      4
295020,7388059      2
295033,7386274      2
295034,7410903      2
295036,7411253      4
295048,741085      4
295055,7387628      2
295064,7387103      10
295070,7387597      2
295073,7411303      14
295077,7388531      6
295079,7395436      4
295120,739007      6
295123,7380049      12
295150,738139      2
295182,7395398      4
295198,7379614      4
295224,7387903      4
295238,7390346      2
295248,738803      4
295250,7388025      6
295252,7381756      2
295296,7411001      4
295299,7410966      4
295303,7381599      2
295304,7394985      2
295343,7411965      2
295364,738639      8
295374,7411188      2
295377,7386655      6
295380,7388166      8
295399,7386675      6
295401,7381052      2
295405,7411104      6
295405,7411138      2
295405,7411139      8
295412,7410905      6
295419,7410923      4
295437,7411149      2
295438,7386531      2
295441,7411091      4
295441,7411092      2
295445,7393442      2
295456,739259      6
295458,7411146      4
295459,7386668      8
295460,7382015      4
295477,7386824      2
295482,7388047      2
295496,7386451      4
295507,738629      8
295515,7386839      6
295516,7386819      6
295516,7387619      2
295525,7387041      2
295529,7390169      2
295547,7410839      2
295565,7387105      12
295572,7387048      2
295590,7383034      8
295606,7390266      2
295614,7386509      8
295621,7351831      1
295628,738319      2
295630,7387596      4
295632,7390293      4
295640,7386919      10
295672,7352083      2
295686,7388482      4
295690,7390308      4
295697,7386721      6
295701,7386418      2
295719,7383126      18
295725,7352206      4
295737,7352011      4
295755,7411925      6
295766,7383274      2
295771,7390336      2
295778,7410372      4
295792,7382991      12
295827,738767      2
295830,7390395      2
295834,738506      2
295873,7387744      2
295874,738775      6
295949,7394393      6
295968,7383328      8
295983,738312      6
295991,7352039      4
296094,7393005      2
296099,7383073      4
296104,7396017      2
296157,7393009      3
296159,7352048      4
296228,7410266      2
296284,7401168      4
296292,7384487      5
296303,7401019      10
296308,7401692      2
296315,7393981      4
296355,7386121      2
296364,7394097      4
296366,73941      6
296400,7388409      4
296407,7394154      4
296443,7394059      6
